Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable,visit
RandomForest,no,0.6736698137484658,82,median,3.365749106714328,generalization,17.846306615940154,0.673601110722706,Age,Life style (LS),third
RandomForest,no,0.6722963428835331,83,median,3.3592938596626323,generalization,17.917879664318725,0.6722920800086373,Age,Life style (LS),third
RandomForest,no,0.6719822574158085,84,median,3.369351936492663,generalization,17.938225570363237,0.6719199648546625,Age,Life style (LS),third
RandomForest,no,0.6724821481424321,85,median,3.359119804159956,generalization,17.910159692196256,0.6724332739475432,Age,Life style (LS),third
RandomForest,no,0.6739784150618093,86,median,3.3568317943002253,generalization,17.8257289260104,0.6739774650733013,Age,Life style (LS),third
RandomForest,no,0.6749161718872861,87,median,3.354538369016117,generalization,17.77581024777484,0.6748904495625246,Age,Life style (LS),third
RandomForest,no,0.6724302530926529,88,median,3.362660572528266,generalization,17.916936425306712,0.6723093313185284,Age,Life style (LS),third
RandomForest,no,0.6754689605270872,89,median,3.3463372624488814,generalization,17.749487561222036,0.6753718766632983,Age,Life style (LS),third
RandomForest,no,0.6745771980832218,90,median,3.356046839024096,generalization,17.794952922110667,0.6745403408383234,Age,Life style (LS),third
RandomForest,no,0.6701232416655036,91,median,3.3707789271108966,generalization,18.04210566466201,0.6700200564799597,Age,Life style (LS),third
RandomForest,no,0.6757304714344465,92,median,3.3521404859273525,generalization,17.730452199182103,0.675720022706092,Age,Life style (LS),third
RandomForest,no,0.6725974496751195,93,median,3.3607898042761626,generalization,17.907322856315748,0.6724851580768696,Age,Life style (LS),third
RandomForest,no,0.6732935972284793,94,median,3.36290489242994,generalization,17.865608746422716,0.6732480856354555,Age,Life style (LS),third
RandomForest,no,0.6761638545639745,95,median,3.3455687909192364,generalization,17.707285863536168,0.6761437219277957,Age,Life style (LS),third
RandomForest,no,0.6732486331716123,96,median,3.3627490979071446,generalization,17.865641202790467,0.6732474920267826,Age,Life style (LS),third
RandomForest,no,0.6731784067580564,97,median,3.359647238295619,generalization,17.87068520468846,0.6731552400750234,Age,Life style (LS),third
RandomForest,no,0.6717156586445889,98,median,3.3699071445754147,generalization,17.94957410440221,0.6717124065634732,Age,Life style (LS),third
RandomForest,no,0.6725967409563911,99,median,3.367511185951407,generalization,17.909437236468605,0.6724464872556035,Age,Life style (LS),third
RandomForest,no,0.5215100648387367,0,median,4.16805700712589,validation,26.472684085510693,0.5206317424562543,Age,Education (EDU),third
RandomForest,no,0.5184791079119873,0,median,4.143418811643014,generalization,26.333137366369986,0.5183817597366339,Age,Education (EDU),third
RandomForest,no,0.4839282357528962,1,median,4.318270783847982,validation,28.74725883135392,0.4821385837653594,Age,Education (EDU),third
RandomForest,no,0.5192186152557161,1,median,4.143579504450325,generalization,26.294327005051716,0.5190915793704294,Age,Education (EDU),third
RandomForest,no,0.4272735013540973,2,median,4.6744575617069195,validation,33.007823054342715,0.4268215517896182,Age,Education (EDU),third
RandomForest,no,0.5156195230727549,2,median,4.1505620939552506,generalization,26.489935380898643,0.5155140124270965,Age,Education (EDU),third
RandomForest,no,0.5289114948813467,3,median,4.157233446401642,validation,26.203976479204695,0.5172963598292608,Age,Education (EDU),third
RandomForest,no,0.5165974021115578,3,median,4.156935644880277,generalization,26.43074286156632,0.5165966102429571,Age,Education (EDU),third
RandomForest,no,0.5063851791521068,4,median,4.461254156769597,validation,30.30384049406176,0.5046828014980831,Age,Education (EDU),third
RandomForest,no,0.5130647255972285,4,median,4.160997834977147,generalization,26.63004264613905,0.5129515295146211,Age,Education (EDU),third
RandomForest,no,0.4933472772211046,5,median,4.220190199394718,validation,27.834091847834625,0.4915311988124468,Age,Education (EDU),third
