Estimator,Permuted,ev,fold,mae,modality,model_testing,mse,r2_score,target
RandomForest,no,0.5239942211646642,32,4.135960099750624,"sMRI, dMRI, fMRI (full MRI)",validation,25.498410613466334,0.5239398492674898,Age
RandomForest,no,0.499693912428419,32,4.041624750499002,"sMRI, dMRI, fMRI (full MRI)",generalization,24.7401064510978,0.49965417028586,Age
RandomForest,no,0.4883357462665454,33,3.920678304239401,"sMRI, dMRI, fMRI (full MRI)",validation,24.701274334164587,0.4882674025988149,Age
RandomForest,no,0.5062455365732219,33,4.007785429141717,"sMRI, dMRI, fMRI (full MRI)",generalization,24.41481651497006,0.5062328591573573,Age
RandomForest,no,0.4117277037453469,34,4.246374064837904,"sMRI, dMRI, fMRI (full MRI)",validation,28.02068017955112,0.41146652992437216,Age
RandomForest,no,0.4991640863222582,34,4.033057884231536,"sMRI, dMRI, fMRI (full MRI)",generalization,24.765791656686627,0.4991347106979589,Age
RandomForest,no,0.4930450830916551,35,4.12457855361596,"sMRI, dMRI, fMRI (full MRI)",validation,26.046918982543644,0.4927817876682766,Age
RandomForest,no,0.5042217994492761,35,4.018731536926148,"sMRI, dMRI, fMRI (full MRI)",generalization,24.515650295409177,0.5041935889692217,Age
RandomForest,no,0.4823062845037651,36,4.215740648379052,"sMRI, dMRI, fMRI (full MRI)",validation,26.523531012468826,0.4821730382496544,Age
RandomForest,no,0.5022997218131564,36,4.026736526946108,"sMRI, dMRI, fMRI (full MRI)",generalization,24.610181469061875,0.5022817831890566,Age
RandomForest,no,0.5305997423341138,37,4.041765586034913,"sMRI, dMRI, fMRI (full MRI)",validation,25.196371830423942,0.5283031066011691,Age
RandomForest,no,0.5013549314632451,37,4.0357904191616765,"sMRI, dMRI, fMRI (full MRI)",generalization,24.65604129341317,0.5013543105481869,Age
RandomForest,no,0.4543011617786167,38,4.1164609822253775,"sMRI, dMRI, fMRI (full MRI)",validation,26.955110236011187,0.4539943987348535,Age
RandomForest,no,0.5021393150622444,38,4.0238861015109375,"sMRI, dMRI, fMRI (full MRI)",generalization,24.618132388805734,0.5021209831721247,Age
RandomForest,no,0.5105432564217327,39,3.8709226932668335,"sMRI, dMRI, fMRI (full MRI)",validation,23.015785735660852,0.509638745054269,Age
RandomForest,no,0.5040120206208374,39,4.019391217564872,"sMRI, dMRI, fMRI (full MRI)",generalization,24.524778323353296,0.5040089830248464,Age
RandomForest,no,0.5027577953980238,40,4.169242709408079,"sMRI, dMRI, fMRI (full MRI)",validation,26.33744858916743,0.5025427850603477,Age
RandomForest,no,0.5034551310368085,40,4.0200932248101005,"sMRI, dMRI, fMRI (full MRI)",generalization,24.552220110960718,0.5034539981861021,Age
RandomForest,no,0.5046934534014265,41,4.086270813400197,"sMRI, dMRI, fMRI (full MRI)",validation,25.57849743320412,0.5043844575240075,Age
RandomForest,no,0.5043732199241804,41,4.015902003666026,"sMRI, dMRI, fMRI (full MRI)",generalization,24.50925640765757,0.5043228994505045,Age
RandomForest,no,0.4754248712094354,42,4.137007573732599,"sMRI, dMRI, fMRI (full MRI)",validation,26.63964501304904,0.4753939053797801,Age
RandomForest,no,0.5018468919240526,42,4.027832254020747,"sMRI, dMRI, fMRI (full MRI)",generalization,24.632067292787625,0.5018391625943279,Age
RandomForest,no,0.4629470017887608,43,4.175162094763092,"sMRI, dMRI, fMRI (full MRI)",validation,27.45494096758105,0.4596285288944715,Age
RandomForest,no,0.5058008204743705,43,4.010917165668662,"sMRI, dMRI, fMRI (full MRI)",generalization,24.43626048303393,0.5057991746857691,Age
RandomForest,no,0.41207105499845575,44,4.140396108973962,"sMRI, dMRI, fMRI (full MRI)",validation,26.24689421425783,0.4109619916173225,Age
RandomForest,no,0.5062238761120321,44,3.991875174197785,"sMRI, dMRI, fMRI (full MRI)",generalization,24.41532339915693,0.5062226078922891,Age
RandomForest,no,0.4753577365878764,45,4.116407128337257,"sMRI, dMRI, fMRI (full MRI)",validation,25.809991978125996,0.4716326725897672,Age
RandomForest,no,0.5021787221983045,45,4.0216393365789775,"sMRI, dMRI, fMRI (full MRI)",generalization,24.616268187662634,0.5021586849204799,Age
RandomForest,no,0.4725770599765086,46,4.020947362376397,"sMRI, dMRI, fMRI (full MRI)",validation,24.875753340153498,0.4717559037399749,Age
