Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
RandomForest,no,0.6726137572986048,79,median,3.1937053807927818,generalization,16.192060582469097,0.6725305122299656,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6955052653442758,80,median,3.19389207046484,validation,15.374299978122425,0.6952291732016403,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6746335939492445,80,median,3.1937414957883328,generalization,16.088314272714623,0.6746286856366357,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6988970427651459,81,median,3.052688218260458,validation,14.060515211855707,0.698178170984349,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6754044066611291,81,median,3.1795926499750453,generalization,16.050094120245795,0.6754016529614376,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6766888693339377,82,median,3.271650872817955,validation,15.908844488778055,0.6750107472766365,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6721720263173572,82,median,3.19168263473054,generalization,16.209905924151695,0.6721696066571314,Age,"EL, EDU, LS, MH"
RandomForest,no,0.672855716101131,83,median,3.2088478802992517,validation,16.27447936159601,0.6714611498812115,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6705511864744456,83,median,3.1981936127744515,generalization,16.290010275449102,0.6705495700500603,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6392707772880228,84,median,3.189296758104738,validation,15.988872498753116,0.6373117438011423,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6735544035247999,84,median,3.1932355289421155,generalization,16.143944830339322,0.673503608929015,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6146544449572836,85,median,3.2857819157787893,validation,17.064278543538606,0.6110187550459908,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6750051437852878,85,median,3.18143323058792,generalization,16.072147475050517,0.6749556442051876,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6874817532554032,86,median,3.1261645885286784,validation,15.604161675810476,0.6862131172520427,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6727326220387739,86,median,3.188932135728543,generalization,16.18210947704591,0.6727317641570493,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6682588801147098,87,median,3.1642370940266806,validation,15.337598478328287,0.6681745650249098,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6724428683686743,87,median,3.1935697445595825,generalization,16.196542511508426,0.6724398693498173,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6439095547493301,88,median,3.3245205475003816,validation,17.429397289565674,0.6435737397800435,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6742171654111315,88,median,3.1849822402877184,generalization,16.10923530511329,0.6742055770564572,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6867613783083555,89,median,3.2307030314161467,validation,16.05840423186038,0.6856462337445923,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6729339870541762,89,median,3.1872915253713097,generalization,16.174432815656598,0.6728870175517694,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6644444319502221,90,median,3.072279301745636,validation,14.80509558104738,0.6644059235981286,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6724035904600794,90,median,3.1929111776447106,generalization,16.200050830339322,0.6723689168379591,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6844485961848386,91,median,3.3000099750623444,validation,15.890664299251867,0.6824466795568631,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6762875130606425,91,median,3.1738213572854286,generalization,16.0064505748503,0.6762843034049892,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6744916180707006,92,median,3.33640897755611,validation,16.950531152119694,0.674321144338771,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6713450532716407,92,median,3.203112774451097,generalization,16.25163082235529,0.6713257590830444,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6946361049521643,93,median,3.0737157107231923,validation,14.744978753117206,0.693247728218586,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6726661552972647,93,median,3.192553892215569,generalization,16.188250526946106,0.6726075670880631,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6781653931119873,94,median,3.3319962163431955,validation,16.942457551071037,0.6780748760305162,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6724491604828409,94,median,3.1922359226341777,generalization,16.19731465774588,0.6724242534044856,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6342763586860622,95,median,3.382140085336326,validation,17.923323609537174,0.633586785559085,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6723879437285245,95,median,3.191285863990758,generalization,16.199364038247563,0.672382806574435,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6353277216735035,96,median,3.1770738190821817,validation,15.795332703614434,0.6301852733012488,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6750933045761506,96,median,3.1773687766547685,generalization,16.069915974192103,0.6750007742514432,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6781802774668422,97,median,3.1429526184538656,validation,15.104866832917704,0.6780037385263998,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6739672699149002,97,median,3.1883093812375245,generalization,16.121133916167665,0.6739649386245972,Age,"EL, EDU, LS, MH"
