Estimator,Permuted,Type,fold,group,model_testing,roc,target
RandomForest,no,Non-imaging,90,low vs high,validation,0.7787332408691632,Neuroticism
RandomForest,no,Non-imaging,90,low vs high,generalization,0.7706130043086565,Neuroticism
RandomForest,no,Non-imaging,91,low vs high,validation,0.7760633861551293,Neuroticism
RandomForest,no,Non-imaging,91,low vs high,generalization,0.7749547684330294,Neuroticism
RandomForest,no,Non-imaging,92,low vs high,validation,0.7888118354137772,Neuroticism
RandomForest,no,Non-imaging,92,low vs high,generalization,0.7730191371495719,Neuroticism
RandomForest,no,Non-imaging,93,low vs high,validation,0.7981871994080652,Neuroticism
RandomForest,no,Non-imaging,93,low vs high,generalization,0.7696477533434055,Neuroticism
RandomForest,no,Non-imaging,94,low vs high,validation,0.75,Neuroticism
RandomForest,no,Non-imaging,94,low vs high,generalization,0.7667543319717233,Neuroticism
RandomForest,no,Non-imaging,95,low vs high,validation,0.7875544435177463,Neuroticism
RandomForest,no,Non-imaging,95,low vs high,generalization,0.7720580829276481,Neuroticism
RandomForest,no,Non-imaging,96,low vs high,validation,0.7921845574387948,Neuroticism
RandomForest,no,Non-imaging,96,low vs high,generalization,0.7739834555051947,Neuroticism
RandomForest,no,Non-imaging,97,low vs high,validation,0.7836538461538459,Neuroticism
RandomForest,no,Non-imaging,97,low vs high,generalization,0.7778598474250648,Neuroticism
RandomForest,no,Non-imaging,98,low vs high,validation,0.7566964285714286,Neuroticism
RandomForest,no,Non-imaging,98,low vs high,generalization,0.7706195325760543,Neuroticism
RandomForest,no,Non-imaging,99,low vs high,validation,0.7548237476808906,Neuroticism
RandomForest,no,Non-imaging,99,low vs high,generalization,0.7691655941655943,Neuroticism
RandomForest,no,Non-imaging,0,low vs high,validation,0.9254342431761788,Age
RandomForest,no,Non-imaging,0,low vs high,generalization,0.922881727036248,Age
RandomForest,no,Non-imaging,1,low vs high,validation,0.9447963238946846,Age
RandomForest,no,Non-imaging,1,low vs high,generalization,0.9243566532899352,Age
RandomForest,no,Non-imaging,2,low vs high,validation,0.9115930999492644,Age
RandomForest,no,Non-imaging,2,low vs high,generalization,0.9236197348182812,Age
RandomForest,no,Non-imaging,3,low vs high,validation,0.9288682170542636,Age
RandomForest,no,Non-imaging,3,low vs high,generalization,0.9236202794734708,Age
RandomForest,no,Non-imaging,4,low vs high,validation,0.9212549603174603,Age
RandomForest,no,Non-imaging,4,low vs high,generalization,0.9236208241286604,Age
RandomForest,no,Non-imaging,5,low vs high,validation,0.9177372962607864,Age
RandomForest,no,Non-imaging,5,low vs high,generalization,0.92546393729058,Age
RandomForest,no,Non-imaging,6,low vs high,validation,0.9097312728852478,Age
RandomForest,no,Non-imaging,6,low vs high,generalization,0.9232471906685316,Age
RandomForest,no,Non-imaging,7,low vs high,validation,0.93796992481203,Age
RandomForest,no,Non-imaging,7,low vs high,generalization,0.9191884201949432,Age
RandomForest,no,Non-imaging,8,low vs high,validation,0.9327347293854472,Age
RandomForest,no,Non-imaging,8,low vs high,generalization,0.9232444673925831,Age
RandomForest,no,Non-imaging,9,low vs high,validation,0.9201458752515088,Age
RandomForest,no,Non-imaging,9,low vs high,generalization,0.9243571979451248,Age
RandomForest,no,Non-imaging,10,low vs high,validation,0.9223258706467664,Age
RandomForest,no,Non-imaging,10,low vs high,generalization,0.9206644357590096,Age
RandomForest,no,Non-imaging,11,low vs high,validation,0.9133858267716536,Age
RandomForest,no,Non-imaging,11,low vs high,generalization,0.922140995978266,Age
RandomForest,no,Non-imaging,12,low vs high,validation,0.940944881889764,Age
RandomForest,no,Non-imaging,12,low vs high,generalization,0.9217722644148442,Age
RandomForest,no,Non-imaging,13,low vs high,validation,0.94003753518924,Age
RandomForest,no,Non-imaging,13,low vs high,generalization,0.9206677036901478,Age
RandomForest,no,Non-imaging,14,low vs high,validation,0.9333767765158568,Age
RandomForest,no,Non-imaging,14,low vs high,generalization,0.9239890110368928,Age
RandomForest,no,Non-imaging,15,low vs high,validation,0.9315592903828198,Age
RandomForest,no,Non-imaging,15,low vs high,generalization,0.922874646518782,Age
RandomForest,no,Non-imaging,16,low vs high,validation,0.9227611940298508,Age
RandomForest,no,Non-imaging,16,low vs high,generalization,0.9228844503121963,Age
RandomForest,no,Non-imaging,17,low vs high,validation,0.9212403100775194,Age
RandomForest,no,Non-imaging,17,low vs high,generalization,0.9239857431057544,Age
RandomForest,no,Non-imaging,18,low vs high,validation,0.9410103643021164,Age
RandomForest,no,Non-imaging,18,low vs high,generalization,0.9236181008527122,Age
RandomForest,no,Non-imaging,19,low vs high,validation,0.9343905472636816,Age
RandomForest,no,Non-imaging,19,low vs high,generalization,0.9217755323459824,Age
RandomForest,no,Non-imaging,20,low vs high,validation,0.9333457341269842,Age
RandomForest,no,Non-imaging,20,low vs high,generalization,0.9247248401981674,Age
RandomForest,no,Non-imaging,21,low vs high,validation,0.9264967021816336,Age
RandomForest,no,Non-imaging,21,low vs high,generalization,0.9262035790381826,Age
RandomForest,no,Non-imaging,22,low vs high,validation,0.9333126550868488,Age
RandomForest,no,Non-imaging,22,low vs high,generalization,0.9199209814250796,Age
RandomForest,no,Non-imaging,23,low vs high,validation,0.9159330985915493,Age
RandomForest,no,Non-imaging,23,low vs high,generalization,0.9221437192542143,Age
RandomForest,no,Non-imaging,24,low vs high,validation,0.913151364764268,Age
RandomForest,no,Non-imaging,24,low vs high,generalization,0.9258310348884328,Age
RandomForest,no,Non-imaging,25,low vs high,validation,0.9214232303090728,Age
RandomForest,no,Non-imaging,25,low vs high,generalization,0.924727563474116,Age
RandomForest,no,Non-imaging,26,low vs high,validation,0.9525434243176178,Age
RandomForest,no,Non-imaging,26,low vs high,generalization,0.9254612140146316,Age
RandomForest,no,Non-imaging,27,low vs high,validation,0.8974088112844094,Age
RandomForest,no,Non-imaging,27,low vs high,generalization,0.9243533853587972,Age
RandomForest,no,Non-imaging,28,low vs high,validation,0.915547263681592,Age
RandomForest,no,Non-imaging,28,low vs high,generalization,0.9217700857940856,Age
RandomForest,no,Non-imaging,29,low vs high,validation,0.9076634344698156,Age
RandomForest,no,Non-imaging,29,low vs high,generalization,0.9228790037602994,Age
RandomForest,no,Non-imaging,30,low vs high,validation,0.9609452736318408,Age
RandomForest,no,Non-imaging,30,low vs high,generalization,0.9262024897278032,Age
RandomForest,no,Non-imaging,31,low vs high,validation,0.9498599439775912,Age
RandomForest,no,Non-imaging,31,low vs high,generalization,0.9203000614371052,Age
RandomForest,no,Non-imaging,32,low vs high,validation,0.9299588737741222,Age
RandomForest,no,Non-imaging,32,low vs high,generalization,0.9239851984505649,Age
RandomForest,no,Non-imaging,33,low vs high,validation,0.9288152423508969,Age
RandomForest,no,Non-imaging,33,low vs high,generalization,0.9247237508877879,Age
RandomForest,no,Non-imaging,34,low vs high,validation,0.9232640838480254,Age
RandomForest,no,Non-imaging,34,low vs high,generalization,0.9243577426003146,Age
RandomForest,no,Non-imaging,35,low vs high,validation,0.9013643410852712,Age
RandomForest,no,Non-imaging,35,low vs high,generalization,0.9184482337921508,Age
RandomForest,no,Non-imaging,36,low vs high,validation,0.9247502017004902,Age
RandomForest,no,Non-imaging,36,low vs high,generalization,0.9214024435410432,Age
RandomForest,no,Non-imaging,37,low vs high,validation,0.9344871794871794,Age
RandomForest,no,Non-imaging,37,low vs high,generalization,0.9254661159113388,Age
RandomForest,no,Non-imaging,38,low vs high,validation,0.9056732740943266,Age
RandomForest,no,Non-imaging,38,low vs high,generalization,0.9236164668871432,Age
RandomForest,no,Non-imaging,39,low vs high,validation,0.8748113682092555,Age
RandomForest,no,Non-imaging,39,low vs high,generalization,0.9228773697947305,Age
RandomForest,no,Non-imaging,40,low vs high,validation,0.9054439484126984,Age
RandomForest,no,Non-imaging,40,low vs high,generalization,0.92324991394448,Age
RandomForest,no,Non-imaging,41,low vs high,validation,0.9131162790697674,Age
RandomForest,no,Non-imaging,41,low vs high,generalization,0.9221404513230764,Age
RandomForest,no,Non-imaging,42,low vs high,validation,0.9129969129969129,Age
RandomForest,no,Non-imaging,42,low vs high,generalization,0.9236170115423328,Age
RandomForest,no,Non-imaging,43,low vs high,validation,0.9254342431761788,Age
RandomForest,no,Non-imaging,43,low vs high,generalization,0.9210348012880004,Age
RandomForest,no,Non-imaging,44,low vs high,validation,0.8946212263854892,Age
RandomForest,no,Non-imaging,44,low vs high,generalization,0.9261959538655268,Age
RandomForest,no,Non-imaging,45,low vs high,validation,0.9451162790697674,Age
RandomForest,no,Non-imaging,45,low vs high,generalization,0.9228811823810582,Age
RandomForest,no,Non-imaging,46,low vs high,validation,0.9173648606715076,Age
RandomForest,no,Non-imaging,46,low vs high,generalization,0.9232455567029624,Age
RandomForest,no,Non-imaging,47,low vs high,validation,0.9292534722222222,Age
RandomForest,no,Non-imaging,47,low vs high,generalization,0.9221415406334558,Age
RandomForest,no,Non-imaging,48,low vs high,validation,0.9290942928039702,Age
RandomForest,no,Non-imaging,48,low vs high,generalization,0.9254601247042524,Age
RandomForest,no,Non-imaging,49,low vs high,validation,0.9044740777667,Age
RandomForest,no,Non-imaging,49,low vs high,generalization,0.9210353459431904,Age
RandomForest,no,Non-imaging,50,low vs high,validation,0.8780381944444444,Age
RandomForest,no,Non-imaging,50,low vs high,generalization,0.9173382265155576,Age
RandomForest,no,Non-imaging,51,low vs high,validation,0.940944881889764,Age
RandomForest,no,Non-imaging,51,low vs high,generalization,0.9243561086347454,Age
RandomForest,no,Non-imaging,52,low vs high,validation,0.9293369890329012,Age
RandomForest,no,Non-imaging,52,low vs high,generalization,0.9232493692892904,Age
RandomForest,no,Non-imaging,53,low vs high,validation,0.9488921988456526,Age
RandomForest,no,Non-imaging,53,low vs high,generalization,0.9258326688540021,Age
RandomForest,no,Non-imaging,54,low vs high,validation,0.9184428012179208,Age
RandomForest,no,Non-imaging,54,low vs high,generalization,0.9217711751044648,Age
RandomForest,no,Non-imaging,55,low vs high,validation,0.9252159323929658,Age
RandomForest,no,Non-imaging,55,low vs high,generalization,0.9184493231025302,Age
RandomForest,no,Non-imaging,56,low vs high,validation,0.9331265508684864,Age
RandomForest,no,Non-imaging,56,low vs high,generalization,0.923983564484996,Age
RandomForest,no,Non-imaging,57,low vs high,validation,0.8944635595871129,Age
RandomForest,no,Non-imaging,57,low vs high,generalization,0.9199242493562176,Age
RandomForest,no,Non-imaging,58,low vs high,validation,0.8823713143428287,Age
RandomForest,no,Non-imaging,58,low vs high,generalization,0.9206649804141994,Age
RandomForest,no,Non-imaging,59,low vs high,validation,0.9289179104477612,Age
RandomForest,no,Non-imaging,59,low vs high,generalization,0.9191873308845636,Age
RandomForest,no,Non-imaging,60,low vs high,validation,0.9164179104477612,Age
RandomForest,no,Non-imaging,60,low vs high,generalization,0.9232493692892904,Age
RandomForest,no,Non-imaging,61,low vs high,validation,0.9328117237953304,Age
RandomForest,no,Non-imaging,61,low vs high,generalization,0.9217722644148442,Age
RandomForest,no,Non-imaging,62,low vs high,validation,0.943483709273183,Age
RandomForest,no,Non-imaging,62,low vs high,generalization,0.9265717659464144,Age
RandomForest,no,Non-imaging,63,low vs high,validation,0.9409991921953644,Age
RandomForest,no,Non-imaging,63,low vs high,generalization,0.924351751393228,Age
RandomForest,no,Non-imaging,64,low vs high,validation,0.8959649671567094,Age
RandomForest,no,Non-imaging,64,low vs high,generalization,0.9239873770713236,Age
RandomForest,no,Non-imaging,65,low vs high,validation,0.93434469815452,Age
RandomForest,no,Non-imaging,65,low vs high,generalization,0.9188251351834179,Age
RandomForest,no,Non-imaging,66,low vs high,validation,0.8891473843058351,Age
RandomForest,no,Non-imaging,66,low vs high,generalization,0.9221399066678868,Age
RandomForest,no,Non-imaging,67,low vs high,validation,0.9204714640198512,Age
RandomForest,no,Non-imaging,67,low vs high,generalization,0.9202924362644498,Age
RandomForest,no,Non-imaging,68,low vs high,validation,0.9300125313283208,Age
RandomForest,no,Non-imaging,68,low vs high,generalization,0.9239857431057544,Age
RandomForest,no,Non-imaging,69,low vs high,validation,0.9288515406162464,Age
RandomForest,no,Non-imaging,69,low vs high,generalization,0.9225086382313086,Age
RandomForest,no,Non-imaging,70,low vs high,validation,0.9192027162977868,Age
RandomForest,no,Non-imaging,70,low vs high,generalization,0.9250892145200716,Age
RandomForest,no,Non-imaging,71,low vs high,validation,0.900795376871932,Age
RandomForest,no,Non-imaging,71,low vs high,generalization,0.9258294009228638,Age
RandomForest,no,Non-imaging,72,low vs high,validation,0.9461562402738874,Age
RandomForest,no,Non-imaging,72,low vs high,generalization,0.9221388173575072,Age
RandomForest,no,Non-imaging,73,low vs high,validation,0.9369419642857144,Age
RandomForest,no,Non-imaging,73,low vs high,generalization,0.921774443035603,Age
